"## RECSentity.id","entity.name","entity.categoryId","entity.message","entity.thumbnailUrl","entity.value","entity.pageUrl","entity.inventory","entity.margin","entity.brand"
"PAR_NEW0OPRN4ZK","OPPO Reno4 Z 5G","34,1461",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/o/p/oppo_reno4z-5g_inkblack_1_1.jpg","12990.00","https://store.ais.co.th/th/oppo-reno4-z-5g.html","20",,"Oppo"
"PAR_NEW0RM00C17","Realme C17 (CDM-SIM LOCK)","4,4:1309",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/r/e/realme_c17-slcdm_kv_2.jpg","4999.00","https://store.ais.co.th/th/realme-c17-cdm-sim-lock.html","19",,"Realme"
"PAR_ADIDAS IPHXSM SNAP CASE","Adidas Snap Case ENTRY iPhone XS Max","5,5:33,1256,1331,1333,5:33:1225",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/3/4/34183_2_1.jpg","1290.00","https://store.ais.co.th/th/adidas-snap-case-entry-iphone-xs-max.html","0",,
"PAR_ADIDAS IPHXS TPU MOULDED BASIC CASE","Adidas TPU Moulded BASIC Case iPhone XR","5,5:33,1256,1331,1333,5:33:1225",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/3/2/32798_2_1.jpg","1190.00","https://store.ais.co.th/th/adidas-iphxs-tpu-moulded-basic-case-iphone-xr.html","0",,
"PAR_ADIDAS IPHXSM SAMBA CASE","Adidas Samba Case iPhone X/XS","5,5:33,1256,1331,1333",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/3/2/32816_2_1.jpg","1190.00","https://store.ais.co.th/th/adidas-samba-case-iphone-x-xs.html","0",,
"PAR_NEW0APXS512","iPhone XS (512 GB)","4,4:39,4:555,4:556,4:565,4:582,4:622,4:712,4:1316",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/iphonexs-gold-pureangles-1_3_2_1.jpg","35500.00","https://store.ais.co.th/th/iphone-xs-512gb.html","0",,"Apple"
"PAR_NEWAPPIP128","iPad Pro รุ่น 12.9 นิ้ว","19,19:27,19:43,19:589,622",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro13_pure_angles_gold-1.jpg","32900.00","https://store.ais.co.th/th/ipad-pro-128gb.html","0",,"Apple"
"PAR_NEW0IN000V6","INHON V6","4,4:17",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/v/6/v6_1_1.jpg","3050.00","https://store.ais.co.th/th/inhon-v6.html","0",,"INHON"
"PAR_NEW0AP01064","iPad Pro รุ่น 10.5 นิ้ว (64GB)","19,19:27,19:201,19:202",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro105_pure_angles_space_gray-1_2.jpg","28400.00","https://store.ais.co.th/th/ipad-pro-10-5-64gb.html","13",,"Apple"
"PAR_Rakuni iPhone 7 Plus POCKET","เคสไอโฟน 7 พลัส รุ่นรักคุนิ แบบกระเป๋า","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/1/_/1_1_27.jpg","890.00","https://store.ais.co.th/th/rakuni-iphone-7-plus-pocket.html","0",,
